CODE #,CODE TYPE,NARRATIVE,M/F
1746.50(C),HS,UNLIC REG ELEC TO HOSPICE,M
1751.100(A),HS,FL PRVD NTC PATIENT RIGHT,M
4920.3(A),BP,PRVD PAY ANML BLOOD,M
99170(A)(1),PU,OPR/ETC TRANSIT W/O PERM,I
99170(A)(2),PU,INTERFERE OPR TRANSIT VEH,I
99170(A)(3),PU,ENTER TRANSIT WINDOW HARM,I
99170(A)(4),PU,THROW OBJ FROM TRANST VEH,I
99170(A)(5),PU,CAUSE HARM/INJ PERSN/PROP,I
99170(A)(6),PU,VIOL SAFETY/SECURITY NTC,I
99170(A)(7),PU,PRVD FLS INFO SAFETY OFCR,I
99170(A)(8),PU,VIOL BICYCLE TRANSIT ORD,I
2558.2,BP,WLFL DISRGRD OPTICIAN REG,M
7156(C),BP,REC UNAUTH HM CONTRACTOR,M
11500(A)(1),VC,DISMANTLE VEH W/O PERMIT,M
2228.5(A),BP,DENY MED PATIENT THC USE,M
2530.2(G)(2),BP,PERF ENDO PROC W/CONTRA,M
7051.5,HS,RMV/ETC GOLD/ETC HMN RMNS,F
7051(A),HS,REMOVE HMN RMNS W/O PERM,F
7052(A),HS,MUTIL/SEX HUMAN REMAINS,F
7054(A)(1),HS,DISPOSE HMN RMNS NOT CEM,M
7054(A)(2),HS,LIC DSPS HMN RMNS NOT CEM,M
7054.9(A)(1),HS,REDUCE RMNS MORE THAN ONE,M
7054.9(A)(2),HS,DISPOSE HMN RMNS COMINGLE,M
7054.9(A)(3),HS,PLC HMN RMNS+ SAME CONT,M
7055(A),HS,INTER/CREMAT/ETC W/O AUTH,M
7672.10(A),BP,SCATTER HMN RMNS W/O REG,M
7673(A),BP,SCATTER HMN RMNS W/O CONS,M
7673(B),BP,BURY HUMAN RMNS W/O CONS,M
7673.1(A)(1),BP,DISPOSER LOSS HUMAN RMNS,M
7673.1(A)(2),BP,DISPOSER NO ID HUMAN RMNS,M
7714.5,BP,DISPOSE HMN RMNS W/O LIC,M
7737.1(A)(1),BP,FL NTFY TRNSF/ETC PRENEED,M
7737.1(A)(3),BP,FL NOTIFY BUREAU TRANSFER,M
7737.1(A)(4)(A),BP,FL PRVD TRANSFER NOTICE,M
7737.1(A)(4)(B),BP,FL RETAIN TRANSFER NTC,M
7737.1(B)(1),BP,FLR NOTIFY CEASE BUSINESS,M
8391,HS,OFCR VIOL HMN RMNS LAW,M
10852.5(A),VC,PURCH USED CAT CONV VIOL,I
11709.1,VC,DLR FL POST SGN 3RD PRTY,M
11709.2,VC,DLR FL PST SIGN NO CL OFF,M
11709.3,VC,DLR FL DISP AD VEH SHOWRM,M
11709(A),VC,DLR FL DISP ADQT BUS SIGN,M
11709(C),VC,DLR FL DISP ID SIGN EXHBT,M
11712(A),VC,DLR FL NOTIFY CHANGE LOC,M
11712(B),VC,DLR CHANGE FRANCHISE,M
11712.5(A),VC,DLR UNLAW SELL MOTORCYCLE,M
11712.5(B),VC,DLR UNLAW SELL LGHT TRUCK,M
11725(A),VC,TRANSP VEH SELL FOREIGN,M
11725(B),VC,FL RMV LIC PLT EXPRT FRGN,M
11729(B)(1),VC,FL EXECUT CONSGN AGREEMNT,M
11735(A),VC,AUTOBRKR FL PAY FEES 9262,M
11735(C),VC,AUTOBRKR FL LOG RTL SALE,M
11736(A),VC,FL EXECUTE WRTN AGREEMNT,M
11736(B),VC,ACCPT PRCH DEP 2.5 SL PRC,M
11736(C),VC,FL REFUND PURCH MNY DEMND,M
11736(D),VC,FL CANCEL AGREEMNT/REFUND,M
11736(E),VC,ACT SELLER/BROKER SERVICE,M
11736(E),VC,FL DISCL FEE COMPENSATION,M
11736(G),VC,FL RCRD DLR LOG SALE,M
11736(H),VC,FL MNTN 3 YR RCRDS,M
11736(I),VC,FL ADVISE FULL REFUND,M
11737(A),VC,DLR FL DEP PURCH TRST ACC,M
11737(B),VC,BRKR DLR ENCUMBR TRST ACC,M
11737(E),VC,DLR FL MAINT TRUST ACC,M
11754(A),VC,RENT RECALLED VEH,M
11754(C),VC,RIDE SHARE RECALLED VEH,M
11819(B),VC,DISPLAY AS OWN SALES LIC,M
11819(C),VC,FL/REF SURRENDER RVKD LIC,M
11819(D),VC,PRMT UNLAW USE SALES LIC,M
11900,VC,ACT AS REP W/O LIC/PRMT,M
12001(A),VC,FL PRVD INVC ID BRND PART,M
12001(B),VC,FL PRVD INVC USED PART,M
12002,VC,SELL/ETC DEFECTIVE PART,M
12110(A),VC,PRVD/REQ COMP/ETC TOW TRK,M
418,PC,FORCIBLE ENTRY,M
419,PC,RETAKE LAND AFT LEGAL REM,M
555,PC,ENTER/REMAIN ON PSTD PROP,M
555.2,PC,LOITER POSTED PROPERTY,M
556,PC,POST SIGN ON PUBLIC PROP,M
556.1,PC,POST SIGN ON PRIVATE PROP,M
587B,PC,TRESPASS ON RR TRAIN,M
593B,PC,CLIMB ON ELECT POWER POLE,M
602(A),PC,TRESP:DESTROY STAND TIMBR,M
602(B),PC,TRESPASS:REMOVE TIMBER,M
602(C),PC,TRESP:INJURE/ETC FREEHOLD,M
602(D),PC,TRESPASS:SOIL REMOVAL,M
602(E),PC,TRSPAS:REMOV SOIL PUB PRP,M
602(F),PC,TRESPASS:DAMAGE SIGN,M
4571,PC,FELON ON PRISON GROUNDS,F
398,MV,TRESPASS: OFF LIMIT AREA,M
27174.2,SH,CLIMB/TRESPASS BRIDGE/ETC,M
601(A)(1),PC,TRESP:RESIDNCE:THREAT SBI,F
601(A)(2),PC,TRESP:WRKPLACE THREAT SBI,F
369G(A),PC,DRIVE/RIDE/ETC RR TRACK,M
602.1(B),PC,OBST/ETC BUSNES:PUB AGNCY,M
647(H),PC,LOITER/ETC PRIVATE PROP,M
1583,FG,TRESPAS ECOLOGICAL RESERV,M
18 1382,US,TRESPAS MILITARY ETC/PROP,M
602(I),PC,TRESPASS:DESTROY FENCE,M
602(J),PC,TRESPASS:BUILD FIRES,M
602(M),PC,TRESPASS:OCC PROP W/O CON,M
602(N),PC,TRESPAS:DRIV ON PRIV PROP,M
602(O),PC,TRESPAS:REFUSE LEAVE PROP,M
602(P),PC,TRESPASS:CLOSED LANDS,M
602(Q),PC,TRESPASS:REF LV PUB BLG,M
602(R),PC,TRESPASS:SKI CLOSED AREA,M
602(S),PC,TRESPASS:REF TO LV HOTEL,M
602(U)(1),PC,TRESPASS:AIRPRT OPER AREA,M
647(E),PC,DIS CON:LODGE W/O CONSENT,M
602.9(A),PC,POSS RESIDENT W/O CONSENT,M
602.9(B),PC,ENTER RES W/O OWNER CNSNT,M
369D,PC,LEAVE RAILROAD GATE OPEN,M
369G(B),PC,DRV VEH ON RLRD W/O AUTH,M
601(A)(1),PC,TRESPASS RESDNC THRTN SBI,M
601(A)(2),PC,TRESP WORKPLACE THRTN SBI,M
602(W),PC,TRESP BATTRD WMN SHELTER,M
602(X)(1),PC,TRESPASS INFANT UNIT HOSP,M
602.12(A),PC,TRESP PROP ACADEM RESRCHR,M
602.13(A),PC,ENTER ANML ENCLOSURE ZOO,M
602(Y),PC,ADV SCREENING INSPECTION,M
602(G),PC,TRESP INJ/ETC OYSTER/ETC,M
602.1(A),PC,TRESPASS OBSTR BUS OPRN,M
602.6,PC,REF TO LEAV FAIR BLDG/ETC,M
602.7,PC,SELL/ETC BART W/O CONSENT,I
602.5(A),PC,UNAUTH ENTRY OF DWELLING,M
602.5(B),PC,UNAUTH ENTRY OCCU DWLING,M
602.8(A),PC,TRESPASS FENCED/PSTD LAND,I
602(H)(1),PC,TRESP POSTD LAND/INJ ANML,M
602(K),PC,TRESP INJ PROP/OBSTR BUS,M
602(L)(1),PC,TRESP REF LEAVE BY ORDER,M
602(L)(2),PC,TRESP DMG/DEST POSTD SIGN,M
602(L)(3),PC,TRESP TAMPER W/ GATE LOCK,M
602(L)(4),PC,TRESPASS DISCHARGE F/ARM,M
602(V)(1),PC,TRESP AVD INSPECT AIRPORT,M
602(T)(1),PC,TRESP FEL REF LV PRVT PRP,M
602.4(A),PC,UNAUTH ENTRY/SELL AIRPORT,M
602.8(A),PC,TRESPASS POSTED LAND 3+,M
369I(A)(1),PC,TRESPASS RAILROAD PROPTY,M
369I(B)(1),PC,TRESPAS RAIL TRANSIT PROP,M
558,PC,TRESPASS:CERTAIN UC LAND,M
626.2,PC,DISMSD STUDENT/EMP AT SCH,M
626.4(D),PC,STAY ON CAMPUS W/O CONSNT,M
647B,PC,LOITR ADLT SCH:MOLST PUPL,M
415.5(A)(1),PC,FIGHT/ETC AT SCH/UNIV/ETC,M
415.5(A)(2),PC,LOUD/UNREAS NOISE UNV/ETC,M
415.5(A)(3),PC,OFFENSIVE WORDS UNIV/ETC,M
627.2,PC,ENTER SCHL GRNDS W/O REG,M
626.9(B),PC,FIREARM AT SCHOOL,F
44810,EC,WILLFULL INTERFER W/CLASS,M
44811,EC,DISRUPT CLASSWORK/ETC,M
627.7(A)(1),PC,REMAIN/ETC AT SCH W/O REG,M
626.9(D),PC,DISCHARGE F/ARM:SCH ZONE,F
626.9(H),PC,POS/ETC LOD F/ARM:UNV/ETC,F
626.9(I),PC,POSS/ETC FIREARM:UNIV/ETC,F
627.8,PC,VIOLS IN SCHOOL ZONE W/PR,M
32210,EC,WILFULY DISTURB SCH ZONE,M
602.11(A),PC,OBST PASSAGE:SCHOOL/ETC,M
626.10(I),PC,POS LLWPN/ETC:COLLEGE/UNV,M
626.8(A)(1),PC,REMAIN ON SCH PROP/DISRUP,M
626.8(A)(2),PC,REENTER W/IN 7DAYS/LEAVE,M
626.8(A)(3),PC,CONT PATTERN UNAUTH ENTRY,M
626.85(A)(2),PC,DRG OFR RENTR SCHL W/I 7,M
626.85(A)(3),PC,DRG OFR CONT PATRN UNAUTH,M
627.7(A)(2),PC,REMAIN AT SCHL DENIED REG,M
627.7(A)(3),PC,REMAIN AT SCHL REG REVKED,M
626.10(B),PC,POSS WPN UNIV NOT F/ARM,F
626.6(A),PC,NNSTDNT REFUSE LEAVE UNIV,M
626.10(B),PC,POSS WPN UNIV NOT F/ARM,M
626.85(A)(1),PC,DRG OFR ON SCHL W/O PERM,M
626.7(A),PC,NONSTUDNT REF LV PUB SCHL,M
626.9(B),PC,POSSESS F/ARM IN SCHL ZN,M
626.10(A)(1),PC,POSS WEAPON AT SCHL K-12,F
626.10(A)(1),PC,POSS WEAPON AT SCHL K-12,M
626.10(A)(2),PC,POSS BOX CUTTER SCHL K-12,M
626.8(A)(4),PC,DSRPT/THRTN SFTY PUPL K-8,M
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,F
71(A)(1),PC,THRTN SCHOOL/PUB OFCR/EMP,M
601.1,PC,OBSTR TEACHER/STUDNT UNIV,M
417.27(B),PC,STDNT POSS LSR PNTR SCHL,I
597A,PC,INHUMANE TRANSPRT OF ANML,M
597E,PC,IMPOUNDED ANIMAL VIOL,M
597P,PC,REGISTER DOCKED HORSE,M
597Q,PC,DRIVE UNREG DOCKED HORSE,M
598,PC,KILL/ETC BIRD IN CEMETERY,M
599(A),PC,LIVE ANIMAL VIOLATION,M
599(B),PC,LIVE ANIMAL VIOLATION,M
599(C),PC,LIVE ANIMAL VIOLATION,M
599(D),PC,LIVE ANIMAL VIOLATION,M
599E,PC,REFUSE TO KILL UNFIT ANML,M
597T,PC,CONFIND ANIMAL INADQ CARE,M
600(A),PC,WILLFUL HARM PO HORSE/DOG,M
600(B),PC,INTERFERE W/PO ANIMAL,M
597.5(B),PC,PRESENT AT DOG FIGHT,M
597.5(A)(1),PC,POSS/TRAIN/ETC:FIGHT DOG,F
597.5(A)(2),PC,CAUSE DOG FIGHT:GAIN/ETC,F
597.5(A)(3),PC,PERMIT/AID/ETC DOG FIGHT,F
598A(B),PC,POSS/ETC DOG/CAT PELT:SEL,M
597G(A),PC,POLING A HORSE,M
598A(A),PC,KILL DOG/CAT:SEL/ETC PELT,M
599F(A),PC,BUY/ETC NONAMBULATRY ANML,M
598D(A),PC,SALE HORSEMEAT FOR MEALS,M
597C,PC,SPECTATOR AT ANIMAL FIGHT,M
597Z(A)(1),PC,SELL DOG UNDER 8 WEEK AGE,M
597L(A)(1),PC,FAL MANT SANITARY PETSHOP,M
597L(A)(2),PC,FAIL PRVD HEAT/VENT:PET,M
597L(A)(3),PC,FAIL PROVIDE HUMANE CARE,M
597L(A)(4),PC,SELL/TRADE DISEASE PET,M
597L(A)(5),PC,INADEQUATE SPACE:PET ANML,M
597N(A),PC,DOCK TAIL:HORSE/CATTLE,M
597.4(A)(1),PC,SELL/ETC ANIMAL IN PUBLIC,I
597.4(A)(1),PC,SELL/ETC ANIMAL PUB W/INJ,M
597.4(A)(2),PC,DISPLY/OFFR ANML FOR SALE,I
597.4(A)(2),PC,DSPLY/OFR ANML SALE W/INJ,M
597.6(A)(1),PC,ALTERATION CAT CLAWS/ETC,M
597B(B),PC,CAUSE COCK/ETC FIGHT MISD,M
597B(B),PC,CAUSE COCK/ETC FIGHT W/PR,F
597G(B),PC,TRIP W/INT EQUINE SPORT,M
597O(A),PC,VEH REQ EQUINE TRANSPORT,M
597U(A),PC,EUTHAN OF ANML GAS/INJEC,M
597U(B),PC,EUTHAN DOG/CAT DIOX CHAMB,M
597X(A),PC,SELL/TRNSP DSBLD ANML OOS,M
598B(A),PC,POSS DOG/CAT CARCASS FOOD,M
598B(B),PC,POSS/ETC PET CARCASS FOOD,M
598D(A),PC,SALE HORSEMEAT FOR MEALS,F
599F(B),PC,PROCESS/ETC NONAMBUL ANML,M
599F(C),PC,HOLD NONAMBUL W/O EUTHAN,M
599F(D),PC,HOLD NONAMBUL W/O TRTMNT,M
599F(E),PC,DRAG EQUIP NONAMBUL ANML,M
599F(F),PC,SELL/SHIP NONAMBUL ANIMAL,M
599F(G),PC,ACCEPT NONAMBUL FOR TRNSP,M
600.2(A),PC,PERM DOG TO INJ GUIDE DOG,M
600.5(A),PC,INT INJ/DTH SRVC DOG DUTY,M
597K,PC,USE BRISTLE BUR ON HORSE,M
597M,PC,PROMOTE/ADVERT BULLFIGHT,M
597(B),PC,CRUELTY OVERDRIVE ANIMAL,M
596,PC,POISON ANIMAL W/O CONSENT,M
600(A),PC,HARM PO HORSE/DOG SRS INJ,F
597(C),PC,CRUELTY TO PROTECTED ANML,M
597(A),PC,INT CRUELTY TO ANML/KILL,F
597V,PC,KILL NWBRN ANML UNOPN EYE,M
597(B),PC,CRUELTY OVERDRIVE ANIMAL,F
597(C),PC,CRUELTY TO PROTECTED ANML,F
598C(A),PC,POSS HORSE HUMAN CONSUMP,F
597S(A),PC,WILLFULLY ABANDON ANIMAL,M
597.7(A),PC,ANML UNATTND VEH GBI W/PR,M
597(A),PC,INT CRUELTY TO ANML/KILL,M
597H(A),PC,USE LIVE DECOY AT DOG RAC,M
596.5,PC,ABUSE OF ELEPHANT,M
597.1(A)(1),PC,KEEP ANML W/O PROPER CARE,M
597B(A),PC,CAUSE BULL/BEAR/ETC FIGHT,M
597I(A),PC,POSSESS BIRD FIGHT EQUIP,M
597J(A),PC,POSS/TRN BIRD FOR FIGHTNG,M
647(F),PC,DISORD CONDUCT:UI/DRUG,M
11150,HS,WRITE UNAUTH PRESCRIPTION,M
11152,HS,NONCONFORM PRESCRIPTIONS,F
11155,HS,ILLEGAL CNTL SUB PRESCRIP,F
11156,HS,GIVE CNTL SUB TO ADDICT,F
11157,HS,ISSUE FALSE PRESCRIPTION,M
11170,HS,CNTL SUB FOR SELF USE,M
11171,HS,PRESCRIBE CNTL SUB VIOL,M
11174,HS,FALSE NAME:GET CNTL SUB,F
11175,HS,POSS/ETC NONCONFOR PRESC,M
11217,HS,UNAUTH NARCOTIC CENTER,M
11355,HS,SELL/ETC IN LIEU:CNTL SUB,F
11363,HS,PLANT/GROW/PROCESS PEYOTE,F
11368,HS,FORGE NARCOTIC PRESCRIP,F
11378,HS,POSS CNTL SUB FOR SALE,F
11382,HS,SELL/ETC IN LIEU:CNTL SUB,F
11594,HS,CNTL SUB OFFENDER NOT REG,M
11173(B),HS,FALSE STATEMENT:PRESCRIP,F
11173(C),HS,REP AS DR/ETC:GET C/SUB,F
11173(D),HS,FALSE LABEL ON CNTL SUB,F
11350(A),HS,POSSESS NARCOTIC CNTL SUB,F
11352(A),HS,TRANSP/SELL NARC/CNTL SUB,F
11353(A),HS,SOLICT/ETC MNR:C/SUB/NARC,F
11354(A),HS,MINOR GIVE MINOR CNTL SUB,F
11361(A),HS,SELL MARIJUANA TO MINOR,F
11377(A),HS,POSS CONTROLLED SUBSTANCE,F
11379(A),HS,TRANSP/ETC CNTL SUB,F
11380(A),HS,USE/ETC MNR VIO C/SUB ACT,F
11173(A),HS,OBTAIN CNTL SUB BY FRAUD,F
11371,HS,PRESCRIP VIOL:INDUCE MINR,F
11175,HS,GET CNTL SUB:N-CONF PRESC,M
11175,HS,ILL C/SUB PRESC:OBT C/SUB,M
11378.5,HS,PHENCYCLIDINE/ETC F/SALE,F
11383(A),HS,POSS SUB:INT:MFG METH/ETC,F
11383(B),HS,POSS SUB:INT:MFG PCP/ETC,F
11550(A),HS,UNDER INFLUENCE CNTL SUB,M
381(A),PC,POSSESS/ETC TOLUENE/ETC,M
11364.7(A),HS,DELIVER/ETC DRUG PARAPHNL,M
11172,HS,ALTER PRESCRIPTION DATE,M
11350(B),HS,POSSESS METHAQUALONE/ETC,F
381(B),PC,POSS SIMILAR TOLUENE SUB,M
380(A),PC,SELL TOLUENE PRSN UND 18,M
381B,PC,POSSESS NITROUS OXIDE,M
11371.1,HS,OBTAIN CNTL SUB:USE MINOR,F
2878.5(A),BP,DOCTOR USE CNTL SUB,M
11190,HS,FAIL KEEP CNTL SUB RECORD,M
11153(A)(1),HS,ISSUE ILLEGAL C/SUB PRESC,F
11379.6(A),HS,MFG/ETC CNTL SUB,F
2241,BP,FURNISH DRUGS TO ADDICT,M
11159,HS,FAIL TO KEEP DRUG RECORD,M
725,BP,PRESCRIBE DRUGS IN EXCESS,M
11166,HS,FILL OUTDATED/ETC PRESCRI,M
21 841(A)(1),US,MFG/DISTRIB/ETC CNTL SUBS,F
11351.5,HS,POSS/PUR COKE BASE F/SALE,F
11361(B),HS,FURNISH MINOR W/MARIJUANA,F
11390,HS,CUL SPR/MSH/ETC:PRO C/SUB,F
11366.5(A),HS,RENT/ETC:SEL/ETC CNTL SUB,F
11366.6,HS,USE ROOM TO SELL CNTL SUB,F
11366.5(B),HS,RENT ROOM:SELL CNTL SUB,F
11379.6(B),HS,OFFER TO MFG/ETC CNTL SUB,F
11391,HS,TRN/ETC SPR/MSH/ETC C/SUB,F
11162.5(A),HS,CNTRFEIT PRESCRIP BLANKS,F
11162.5(B),HS,POSS FAKE PRESCRIP BLANKS,M
11353.7,HS,GIVE CNTL SUB TO MNR U/14,F
11351,HS,POS/PUR F/SALE NARC/C/SUB,F
11154(A),HS,PRESCRIBE CNTL SUB,F
11379.5(A),HS,TRANSP/ETC PHENCYCLDN/ETC,F
11383(F),HS,POSS PRECURS:MFG CNTL SUB,F
11550(E),HS,USE CNTL SUB:POSS FIREARM,F
11352(B),HS,TRANS/SELL NARC BTWN CNTY,F
11379(B),HS,TRANSP/ETC F/SALE C/SUB,F
11370.6(A),HS,POSS $ FROM SALE CNTL SUB,F
11154(B),HS,SLICIT/ETC PRESC CNTL SUB,F
11180,HS,POSS CNTL SUB W/O PRESC,M
11353(B),HS,HIRE/ETC MNR SEL/ETC CS/N,F
11151,HS,PRESC BY UNLICENSED PERSN,M
11364.5(A),HS,SELL/ETC DRUG PARAPH:-18,M
11364.5(B),HS,BUS LET -18 SEE DRUG PARA,M
2242.1(A),BP,PRESC DANG DRUG:INTERNET,M
11365(A),HS,VISIT WHERE CNTL SUB USED,M
11106(J),HS,SEL/ETC CNTL SUB W/O PERM,M
11106(J),HS,SEL/ETC CNTL SUB W/O PERM,F
11370.1(A),HS,POSS CNTL SUB WHILE ARMED,F
11353.5,HS,ADL SUP MNR C/SUB:SCH/ETC,F
11379.2,HS,POSS F/SALE/SELL CNTL SUB,F
11366.8(B),HS,BLD FALS BOX:VEH:CNTL SUB,F
11353(C),HS,SEL/ETC CNTL SUB/NARC:MNR,F
11104.5,HS,POSS ARTICLS:MFG CNTL SUB,M
11366.8(A),HS,USE/ETC CMPRTMNT:CNTL SUB,F
11355,HS,SELL/ETC IN LIEU:CNTL SUB,M
11161(A),HS,UNAUTH POSS PRESC BLANKS,M
11364.7(C),HS,DEL/ETC DRUG PARAPH MINOR,M
11366,HS,KEP PLACE:SEL/ETC N/C/SUB,F
11370.9(B),HS,CONCL/ETC PROFT/ETC:C/SUB,F
11100.1(A),HS,FAIL RPT:SPEC SUB:O-O-S,M
11104(A),HS,FURN 11100(A)HS SUB F/MFG,F
11207,HS,UNAUTH FIL/ETC C/SUB PRSC,M
11364.7(B),HS,MFG DRUG PARA:INT:DEL/ETC,F
647(F),PC,DISORDRLY CONDUCT:TOLUENE,M
11366.7(B),HS,SELL DRUG/ETC:ILL MFG/ETC,F
11379.5(B),HS,PHENC/ETC:SEL/ETC BTWN CO,F
11100(G)(1),HS,SELL/ETC SPEC SUB:MINOR,M
11100(G)(2),HS,MINOR ILL POSS SPEC SUB,M
11532(A),HS,LOITR PUBLIC:ILL DRUG ACT,M
11370.9(C),HS,TRNS/ETC/HID/ETC $+:C/SUB,F
11383(C)(1),HS,POS EPH/ETC:MFG METH/ETC,F
11383(C)(2),HS,POS ACID/ETC:METH/ETC,F
11377(A),HS,POSSESS CNTL SUB,M
4051,BP,UNREG MFG/ETC PRESC/ETC,M
4141,BP,UNLIC SELL/ETC NEEDL/ETC,M
4059(A),BP,GIV DANG DRUG/ETC:NO PRSC,M
4063,BP,UNAUTH RFIL DANG DRUG/ETC,M
4060,BP,POS CNTL SUB:W/O PRESCRIP,M
4332,BP,DANG DRUG/ETC RECORD VIOL,M
4336(A),BP,DANG DRUG:USE MNR:AGENT,F
4324(A),BP,FORGE/ETC PRESCRIPTION,F
4325(A),BP,UNAUTH PRESCRIPTION BLANK,M
4324(B),BP,GET DRUG BY FORGED PRESC,F
4323,BP,FALSE REP:DR/ETC:OBT DRUG,M
11157,HS,ISS FALSE/ETC PRESCRIPTN,F
11166,HS,FILL OLD/ETC C/SUB PRESC,F
109575,HS,POS/MFG/ETC FAKE CNTL SUB,M
109580,HS,GIVE FAKE CNTL SUB:MINOR,M
11473.5,HS,OFCL NOT DSTROY C/SUB/ETC,M
4149,BP,UNLIC NONRES DIST NDL/ETC,M
21 843(A)(6),US,POSS EQUIP/ETC:MFG C/SUBS,F
4163,BP,FURN DANGERUS DRUG/DEVICE,M
11352.1(B),HS,DISP/ETC DANG DRUG/DEVICE,M
11100(G)(3),HS,SELL EPHEDRN/ETC:ILL AMT,M
11366,HS,KEP PLACE:SEL/ETC N/C/SUB,M
11104(C),HS,REC/ETC WIT EVADE RPT REQ,M
11173(A),HS,OBTAIN CNTL SUB BY FRAUD,M
4324(B),BP,GET DRUG BY FORGED PRESC,M
4324(A),BP,FORGE/ETC PRESCRIPTIONS,M
11382,HS,SELL/ETC IN LIEU:CNTL SUB,M
11375(B)(2),HS,POSS CNTL SUB W/O PRESCRP,M
11383(G),HS,POSS CHEM INTENT MFG METH,F
4060,BP,POSS CONTL SUB:W/O PRESCP,F
11350(B),HS,POSSESS MECLOQUALONE/ETC,M
11368,HS,FORGE NARCOTIC PRESCRIP,M
11375(B)(1),HS,POSS F/SALE DES CNTL SUB,F
11383.5(B)(1),HS,POSS CHEM INTENT MFG METH,F
11383.5(E),HS,POSS CHEM INTENT MFG METH,F
11162.6(C),HS,ATT OBTAIN CNT SUB PRESCR,M
11383.7(B)(1),HS,POSS/ETC CHEM:MFG METH,F
4330(A),BP,OWNER:NON-PHARM DISP PRSC,M
381C(B),PC,SELL NITROUS OXIDE TO MNR,M
11391,HS,TRS/ETC SPR/MSH/ETC C/SUB,M
11383.7(A),HS,POSS W/INT/KNOW:MFG METH,F
4077(A),BP,RX W/O LABEL ON CONTAINER,M
11375.5(A),HS,SELL/DIST SYNTH STIM COMP,M
11362.77(A),HS,QUAL PATNT POS 8+ OZ MARJ,M
11350(A),HS,POSSESS NARCOTIC CNTL SUB,M
11364(A),HS,POSS UNLAW PARAPHERNALIA,M
443.17(A),HS,ALTER REQ/AID DYING DRUG,F
443.17(B),HS,COERCE IDV AID DYING DRUG,F
11375(B)(1),HS,POSS F/SALE DES CNTL SUB,M
11357.5(A),HS,SEL SYNTHETIC CANNABINOID,M
11357(B),HS,POSS MARIJ OVER 28.5 GRAM,M
11357(C),HS,POSS MARIJUANA SCHL GRNDS,M
11358(C),HS,CULTIVATE MARIJ 6+ PLANTS,M
11358(D),HS,CULT MARIJ 6+ PLANTS W/PR,F
11362.4(C),HS,SMOKE/POSS MARIJ SCHL/YTH,M
11362.4(D),HS,USE SOLVNT NO LIC/CANABIS,F
11360(A),HS,SELL/TRNSP/ETC MARIJUANA,M
11360(A),HS,SELL/TRNSP/ETC MARIJUANA,F
11359(B),HS,POSS MARIJUANA FOR SALE,M
11359(C),HS,POSS MARIJ FOR SALE W/PR,F
11359(D),HS,EMPLOY IND -21 SELL MARIJ,F
11366.5(A),HS,RENT/ETC:SEL/ETC CNTL SUB,M
11173(D),HS,FALSE LABEL ON CNTL SUB,M
381D(A),PC,DISP/DIST NITROUS GBI/DTH,M
381E(A),PC,FLR TO KEEP NITROUS RCRDS,M
4573.8,PC,POSS DRGS/PARA IN PRSN/JL,F
11160(B)(1),PC,HLTH PRACT FL PHONE RPRT,M
11160(B)(2),PC,HLTH PRACT FL WRTN RPRT,M
4573.6(A),PC,POSS CNTL SUBST/PARA PRSN,F
4573.9(A),PC,SELL/ETC CNTL SUB ST PRSN,F
11357.5(B),HS,POSS SYNTH CNNBND W/PR,M
285,PC,INCEST,F
286(B)(1),PC,SODOMY:PERSON UNDER 18,F
286(B)(2),PC,SODOMY:PERSON UNDER 16,F
286(E),PC,SDMY:WHILE IN PRISON/JAIL,F
288(A),PC,L&L W/CHILD UNDER 14,F
314.1,PC,INDECENT EXPOSURE W/PRIOR,F
286(F),PC,SODOMY:VICT UNCONS OF ACT,F
286(G),PC,SDMY:VICT INCAPBL:CONSENT,F
289(D),PC,PEN:F/OBJ/ETC:VIC UNAWARE,F
289(E),PC,PEN:F/OBJ/ETC:VIC DRG/ETC,F
266C,PC,NDUCE SEX/ACT:FLS REP/ETC,F
288.5(A),PC,CONT SEX ABUSE OF CHILD,F
261.5(D),PC,SEX W/MNR:PERP 21+ VIC-16,F
261.5(C),PC,SEX W/MINOR:3+ YRS YOUNGR,F
261.5(B),PC,SEX W/MINOR:+ OR - 3 YRS,M
261.5(D),PC,SEX W/MINOR -16:PERP 21+,M
289(F),PC,PEN:F/OBJ/ETC:BELEV SPOUS,F
286(K),PC,SOD:AUTH THRET AREST/DPRT,F
310.5(A),PC,GARD/PERP CNTRACT SEX:MNR,M
288(B)(1),PC,L&L W/CHILD -14:FORCE/ETC,F
288(B)(2),PC,CTAKR L&L DEP ADL:FRC/ETC,F
288(C)(2),PC,L&L W/DEP ADLT BY CARETKR,F
647.6(B),PC,ANNOY/ETC CHILD:ILL ENTRY,F
286(C)(1),PC,SODOMY:PERSON UNDER 14,F
290.01(B),PC,FT REG:EMP/ETC REG CTY PD,M
288(C)(2),PC,L&L W/DEP ADLT BY CARETKR,M
286(C)(3),PC,SODOMY BY THREAT,F
18 2244(B),US,UNWANTED SEXUAL CONTACT,F
18 2242(2)(B),US,SEXUAL ABUSE:PHYS INCPABL,F
288.7(B),PC,ORAL COP:VICT UNDER 10YRS,F
647.6(A)(1),PC,ANNOY/MOL VICT UNDER 18,M
647.6(A)(2),PC,ANOY/MOL VIC BEL'D UND 18,M
653B(A),PC,SEX OFR:LOITER AT SCHOOL,M
